word,POS
핵보유국,NNG
핵강국,NNG
최첨단핵,NNG
핵무력,NNG
핵억제력,NNG
핵반격,NNG
핵에는,MAG
핵으로,MAG
핵전투,NNG
핵타격,NNG
핵공격,NNG
핵선제,NNG
핵보검,NNG
핵대결,NNG
핵위협,NNG
핵악몽,NNG
핵전쟁,NNG
반핵,NNG
평화적핵,NNG
핵선제공격,NNG
핵재난,NNG
론설,NNG
전쟁광,NNG
초강도,NNG
막을수,MAG
대조선,NNP
신뢰성,NNG
자위적,MAG
위력한,MAG
핵군비,NNG
핵,NNG
폭제,NNG
무자비,NNG
